place_code,race_type,course_len_m,course_note,prose_guide
08,芝,1600,内,"1400mの内回り同様、2歳と3歳限定戦の1勝クラス以下で使用される。向正面のポケットからスタートし、およそ500mの平坦直線を走る。そこから3mの急勾配を上り、頂上で平坦を少し走ってから急な下り坂の3角から4角を経て、328mの平坦な直線を走ってゴール。小回りの内回りなのに、意外にも1枠、2枠の成績が悪い。1枠は勝率ワースト、2枠は複勝率ワーストである。もちろん脚質次第というところはあるが、好成績なのは6、7枠となっている。基本的には内回りの1400mと比べると、前半が200m長いだけの違いなので、前走内回り1400mで好走していた馬が出てきた場合は、連続好走するケースが少なくない。"
08,芝,1600,外,"マイルCS、マイラーズCなどが組まれているコース。向正面奥の引き込み線からスタートし、400mほど平坦の直線を走ってから外回りコースに入って、上り坂が始まる。一度上ってから、また角度の違う坂を上るという難所で、3角で最高地点に達し、そこからは急激な下り坂、そして平坦の直線へ入っていく。直線は404m。高低差は最大4mある。なぜか3枠の勝率がとても低いこと以外は、複勝率や連対率で見ると枠の有利不利は小さいコース。外差しになることもあるが、4角のカーブが大きいため、下り坂で外から加速をつけすぎると、コーナーリングで大きく振られてしまうことも。追い込みにはやや不利で、逃げ切りも多い。"
08,芝,1800,,"向正面奥のポケット最深部からのスタート。600mもの間平坦な直線を走ってから坂に入り、そこを上りながら3角へ。カーブに入るまでは900mもあり、これほど長い区間を一直線に走るコースは、傾斜の有無はあるとはいえ、新潟とここくらいだろう。坂を上ってからは、外回りのマイルと同じ経路を辿る。直線が長いうえにワンターンのため、他場の1800mより概して時計は速くなる。高速上がりの脚を使える馬、血統が適している舞台だ。勝率、連対率ベースで見ると、5枠から外の枠のほうが好走率は高い。好位から瞬発力を活かす脚質の利が出るコースで、紛れは比較的少なめといえる。"
08,芝,2000,,"秋華賞が行なわれるコース。正面スタンド前からスタートし、およそ300m平坦な直線を走って1角へ入る。そのまま向正面に入って、3角へ向けて内回りコースに入り坂を上り、頂点で少し平坦を走ってから4角へ向けて下り坂、あとはずっと直線平坦の328mを走ってゴールとなる。向正面でペースが緩むことが多いのだが、秋華賞など上級のレースでは緩みなく流れることも珍しくなく、直線で前がガラリと入れ替わることもある。枠は内が有利とも、外が不利ともいい切れない。小回りコーナー4つのコースにしては、枠についてはフェアなほうだろう。脚質もペース次第のところがあるが、4角に先頭、2番手で入ってきた馬が馬券になる確率は高い。とにかく持続力勝負の難コースである。"
08,芝,2200,,"GIはエリザベス女王杯、それにGIIの京都記念と京都新聞杯が行なわれているコース。外回りである。正面スタンド前、直線入って間もないところからスタートし、向正面過ぎの上り坂まで延々1000mもの間、コーナーを含む平坦区間を走る。2段階の上り坂のあと、3角過ぎから一気に下って4角からの平坦直線は、他の外回りコースと同じ。ゆったりしたペースになりがちで上がり勝負。コース形状がロンシャン競馬場に似ているからか、欧州中距離血統がとにかく好走する。特にエリザベス女王杯ではここが重要な予想ポイントとなる。スローで前が残りやすい。とはいえ、逃げ切り勝ち自体は至難のコースでもある。"
08,芝,2400,,"今は日経新春杯と京都大賞典というGII重賞2つが行なわれているが、昭和から平成前半までは、もう廃止や距離変更になったレースなど、数々の重賞が組まれた重要コースだった。スタート地点は1角奥のポケットにあり、1角に入るまで600mもの間直線が続く。直線の間に隊列がほぼ決まって、流れが落ち着いたあたりが1角なので、ペースはスローになりがちだ。その後は2200mと同じ経路を辿ってゴールとなる。2200m以上にペースが落ち着くので、下り坂からマクってくる馬も少なくない。上級クラスほどそういう馬が出現するので、その場合は直線差し比べとなる。反対に1、2勝クラスあたりでは、スローの前残りになりやすい。"
08,ダート,1200,,"JRAのダート1200m重賞は中山のカペラSだけなので、大半のコースではOP特別が最上級となる。その中でも京都の1200mは、形状から前有利が顕著なコースである。スタートは向正面の2角を回った地点。200m弱の平坦直線部分を走ると、向正面の後半を占める上り坂が始まり、3角付近の頂点から一気に4角へ向けて坂を下り、あとは平坦の直線からゴールへ続く。最後の直線は329m。最大高低差はおよそ3mである。このように、スタート後まもなく坂があって序盤のペースが上がりにくいこと、それでいて下りや平坦の区間が長いことが、前有利の理由となっている。"
08,ダート,1400,,"向正面に向かって左手、2角奥の引き込み線の芝からスタートする。最大180m芝の上を走り、内へ行くほど芝の部分は短くなる。最短だと150mだ。ダートの部分に入ってからは、1200mとほぼ同じ経路を辿ってゴールとなる。ただスタートが芝になっていて、また坂までの助走区間が1F近く長くなるので、前半のペースが1200mより速くなることは珍しくない。下級条件ではそのまま押し切ることも多いが、上級条件では差しも届く。特に向正面が強めの向かい風になっているときは、なおさら差しが決まり易くなる。複勝率では枠の有利不利はほとんどないが、勝率ベースで見ると芝を長く走れる外枠のほうがやや有利だ。"
08,ダート,1800,,"今はみやこSしか重賞が行なわれていないが、OP特別は多数組まれている。関東馬でも中山の坂を苦手とする馬は、中山以外の関東圏にこの距離設定がないため、京都を狙って遠征してくる場合も多い。特に1月開催の京都では、このケースで穴が出やすい。スタンド前の直線半ばからスタートし、約280m走って1角のカーブに入る。2角を回ってからの経路や形状は1400mと同じだ。逃げ・先行馬に向いた構造になっていて、しかも砂質が軽めの京都のため、そのままスピードに乗って粘り込むことが多い。ただし1枠の逃げ・先行型はカーブまでに被せられるのを嫌い、やや無理をして出していくために最後失速しがちで、複勝率は外枠よりもかなり低い。なお、後方一気型にとってかなり不利なコースでもある。"
08,ダート,1900,,"マイナーコースでありながら、ユニコーンSと平安Sと重賞が2鞍組まれている。個人的にはユニコーンSは1800mがふさわしいと思うのだが……。スタート地点は1800mを100m後ろに下げただけで、経路はほぼ同じ。ただコーナーの入りが100m延びる分、ペースは1800mよりさらに緩くなりがちで、スローの前残りが目立つコースである。前述したユニコーンSの私見はここに理由がある。中枠の外目（5〜7枠）に入った先行馬の信頼度が高い。1800mよりも後方一気は決まりづらく、2024年のユニコーンSのラムジェットですらマクって動き、直線には4、5番手で入ってきての勝利だった。"
09,芝,1200,,"阪神は初秋の開催だけが野芝で、あとはオーバーシードで行なわれる。このコースは向正面中間地点の手前からスタート、3角までほぼ平坦、内回りコースに入ってなだらかな下り坂が始まり、直線半ば過ぎまで下ってゴール前に急坂を上るという形状。高低差は小さめの2mだ。なおコース図でおわかりのように、阪神は1角から2角のカーブが小さく、3角から4角へかけてのカーブは緩く広い。その分、直線へ入るときは、大げさにいうと直角的な曲がり方をすることになる。内回りの直線は350mで意外と長い。1200mは逃げ・先行の有利さが顕著だ。これはゴール直前まで平坦であること、ワンターンのカーブが緩くて、コーナーリングの減速度合いが小さくて済むことなどが理由と考えられる。"
09,芝,1400,,"スタート地点は1200mをさらに1F分、2角方向へ延長し、ポケットからコースへ進入する境目のあたりにある。内回りコースで、あとは1200mと重なる。コーナーまでの直線が443mと長いため、外から寄せられたり揉まれたりするリスクがなく、無理に前に出していく必要性が減る分、1200mに比べて内枠に入った逃げ・先行脚質の利が目立ってくる。枠順別の勝利数上位4つの枠のうち3つを、3枠以内が占めている。ただし、能力の高い逃げ・先行馬が揃いがちなOP特別や重賞、それもフルゲート近くになると、ペースが激化してしまうので、直線では差し・追い込み勢がよく飛んでくる。"
09,芝,1600,,"スタート地点は、1200mとほぼ近い。そこからは向正面の緩い坂を下って外回りコースに入り、少し坂を上る。その後は緩く下りながら4角へ差しかかり、それまでよりやや急な2段階目の下り勾配から直線へ。あとはゴール前の急坂を目指すことになる。外回りの最後の直線は474mで、右回りの競馬場としては最も長い。序盤に坂があるのと、コーナー部分が長いこと、さらに最後の直線も長くてゴール前に急坂があるので、スローペースになることが多い。それでも上級条件では差し競馬になりがちで、外からも届く。桜花賞を始め多くの重賞が行なわれていて、JRAの中では屈指の重要コースとなっている。"
09,芝,1800,,"スタート地点は、1600mを1F後ろに下げただけで、あとは同じとなる。外回りの3角に入るまで、665mもの間、直線を走ることになる。枠順の有利不利はほとんどなく、1800m戦の中では最もスローになりやすい。高低差も小さいので、大半のレースで上がり3Fのスパート勝負となる。前目につけられる馬の有利さが目立つが、前半の直線部分がかなり長いので、逃げた馬の直後や周囲に後続もついてきていて、精神的にプレッシャーをかけられ続けることも多い。そのためか、特に上のクラスでの逃げ切りは難しいようだ。"
09,芝,2000,,"スタート地点は正面スタンド前、4角を回って少し進んだ下り坂の途中である。スタート後も少し下ってから、ゴール前の急坂を一気に上り、そこからほぼ平坦の1角から2角のカーブを経て向正面へ入る。そして緩く下ってから内回りコースに入り、3角から再度緩く下り、4角を回ってスタート地点を通過し、ゴールへ向かう。スローになりがちで、前に行った組が有利。とにかく持続力がモノをいうコースである。枠の内外の不利はないが、なぜか4枠の複勝率がとても高い。この辺は、最初のコーナーが急なカーブで内枠は寄られ、外枠は振られると序盤に流れに乗り損ねるので、先行馬なら最もスムーズにコーナーに入れる枠ということではないだろうか。"
09,芝,2200,,"2000mと同じく内回りを使う。組まれている重賞は宝塚記念だけだ。スタート地点は2000mを1F下げて、4角奥のポケットにある。スタートからゴール前までは下り、ゴール前の坂を上ってからは2000mと同じ経路を辿る。宝塚記念は馬質も揃うので、例年前半が速くなるが、通常のこのコースのレースは序盤こそ速いものの、坂を上ってからはスローになり、ラスト4Fあたりからペースアップするというパターンが多い。後ろの馬に早めに動かれるので、逃げ切りは難しいコースである。好位から長く脚を使っての差しが決まりやすい。なお、枠の内外の有利不利はほとんどない。"
09,芝,2400,,"直線入ってまもなく、2000mと同じ地点からスタートし、緩く下ってからゴール板前の急坂を上る。そこからは緩く下って外回りコースに入って、緩い坂を上る。そこからは下りながら3角、4角を経て、スタート地点を過ぎてゴール前の上りに向かっていく。重賞は神戸新聞杯のみが施行されているコースだ。まず例外なくスローペースになるコースで、上がり3Fが速い競馬になる。決め手を持っていることが必須で、左右の周りの違いはあるが、東京2400mの好走馬とリンクする傾向がある。ただ前半がスローなので、後方一気の追い込みは難しい。"
09,ダート,1200,,"向正面入ってまもなくの地点からスタート。約200mの平坦区間を経て、そこから800mも続く緩い下り坂がゴール前の坂下まで伸びている。その下りの中に3角、4角があり、スタンド前の352mの直線へ入る。最後に坂を上ってゴールとなるが、最大高低差が1.6mと低めで、平坦コースに近い形状だ。先行勢がかなり有利となるが、後述する1400mと違ってダートスタートであることと、カーブまでの距離の違いにより、1400mよりも前半2F、3Fが遅くなることも珍しくない。なぜか内枠が不利で、1枠、2枠は勝ち切りが難しくなる。外枠寄りの先行馬が最も安定して走れる。ただし3勝クラス以上では差し馬の届く率が高まっていく。"
09,ダート,1400,,"向正面に向かって左手、2角奥にある引き込み線の芝にスタート地点がある。最内枠でだいたい150m、大外だと180m近く芝の上を走ってからダートに入る。そこからは1200mと同じ経路を辿ってゴールとなる。最大高低差は1200mと同じ1.6mだ。ただスタートが芝になっているし、最初のコーナーまで直線が540mもあるので先行争いが激化しやすく、前記のように前半のペースが1200mより速くなることも珍しくない。だから意外と差しも届く。さらに内枠の逃げ・先行馬が飛ばしすぎて失速してしまうのか、複勝率では外目の枠が優勢であり、勝率は8枠が最高となっている。外枠の好位差しタイプを狙うのが基本線のコースだ。また少頭数のレースは少なく、混戦が多い。"
09,ダート,1800,,"重賞はアンタレスSひと鞍が組まれているコース。スタート地点は正面スタンド前で、スタート後は短い下り坂だが、まもなくゴール板前の急坂を上って1角へ入る。あとは平坦と緩やかな下りが延々続き、1周してスタート地点を通過。最後はまたゴール前の坂を上っていく。1角前の坂を上ってから外の馬が急に内へ寄せていくこともあり、内枠の差し馬は位置取りが悪くなることがある。勝率では1〜3枠は外より低めだ。坂を上ってすぐカーブなので、前半のペースが上がりにくくスローになりがち。このため前有利の傾向があるが、上級条件になると、スローを外からマクる馬も出てきて、前に楽をさせないケースが目立つ。1勝クラス以下は前有利、2勝クラス以上では脚質不問としたい。"
09,ダート,2000,,"ダートの中ではレース数が少ないマイナーコースだが、重賞のシリウスSが組まれている。4角奥のポケット地点にある芝の上からスタートするが、内外で芝を走る距離に差がほとんどなく、芝を走るのがわずか80mのため、序盤のダッシュはあまりつかない。ダートに入ってからは、ほどなくして1800mのスタート地点に来るので、そこからは同じ経路を辿る。1800mよりは前半直線部分の助走区間が長くなるので、最初の坂を上るまでに加速がつき、ペースは流れやすい。それでいてトータルで急坂を2回上り、スタミナが問われるため、1800mで好走していた種牡馬があまりリンクしないのが特徴だ。"
07,芝,1200,,"高松宮記念が行なわれるコース。ただし直線の中ほどに坂があるので、上がりはそれほど速くならない。芝のスプリント戦は東京以外の競馬場で組まれているが、ラップ構成はそれぞれ異なる。スタートは向正面の直線に入ってまもなくの地点。緩やかに坂を上りながらのスタートで、そこから緩やかに下りつつ3角と4角を曲がる。直線中ほどに急勾配の上りがあり、そこからは200mほど平坦を走ってゴール。最後の直線は412mと長め。2、3枠の好成績に比べると、1枠の苦戦ぶりが目立つコース。上がりがかかるものの、前が有利となりがちだ。ただ高松宮記念だけは馬のレベルが違うので、天候にもよるが、外差しが決まりやすくなる年が多い。"
07,芝,1400,,"スタート地点は1200mをさらに1F下げて、向正面のポケット入口あたりにある。緩やかに上り、あとは1200mと同じ。最大高低差は3.5mある。コーナーまでの直線が380mあるが、あまり飛ばしてしまうと直線中間地点の坂と直線全体の長さが堪えるので、ペース配分がかなり難しいコースである。1枠の勝率が極端に低いこと、中枠の内寄りの3、4枠の複勝率が高いこともチェックポイントだ。また概して中京すべてのコースにいえることだが、追い込みは決まりにくい。脚の平均的な持続力が最も求められる距離だけに、1400mはいっそう、そのイメージがある。"
07,芝,1600,,"1角の側にある引き込み線奥からのスタートとなるコース。東京でいえば、2000mのスタート地点とほぼ同じような形状となる。そこから直線に近い走路をおよそ200m経て向正面に入っていくが、スタートからこの地点までは1600m戦でしか使わないため、常に芝の状態は良好と考えていい。だからスタート直後は、良馬場なら加速がつきやすい。そこから向正面中間地点の緩い上り坂に入り、次は長い下り坂を降りながら3、4角を回る。そして直線半ばの急坂を上って、平坦区間を経てゴール。枠の有利不利はあまりなく、またラップの上げ下げも小さい。持続力が中心となるコースだ。"
